job_id,source_market_code,source_market,skill
senior-system-engineer-fur-network-infrastructure-tubingen-173878,DE,Germany,artificial_intelligence
staff-product-security-engineer-55862,GB,United Kingdom,python
staff-product-security-engineer-55862,GB,United Kingdom,aws
staff-product-security-engineer-55862,GB,United Kingdom,gcp
staff-product-security-engineer-55862,GB,United Kingdom,spark
staff-product-security-engineer-55862,GB,United Kingdom,kubernetes
staff-product-security-engineer-55862,GB,United Kingdom,git
senior-data-scientist-payment-intelligence-london-216917,GB,United Kingdom,python
senior-data-scientist-payment-intelligence-london-216917,GB,United Kingdom,sql
senior-data-scientist-payment-intelligence-london-216917,GB,United Kingdom,gcp
data-science-manager-london-59610,GB,United Kingdom,python
data-science-manager-london-59610,GB,United Kingdom,sql
data-science-manager-london-59610,GB,United Kingdom,gcp
data-science-manager-london-59610,GB,United Kingdom,machine_learning
online-data-analyst-english-speaker-in-uk-london-199240,GB,United Kingdom,machine_learning
staff-engineer-london-465985,GB,United Kingdom,excel
staff-engineer-london-465985,GB,United Kingdom,kubernetes
software-engineer-london-360539,GB,United Kingdom,excel
fullstack-engineer-adtech-london-33209,GB,United Kingdom,python
fullstack-engineer-adtech-london-33209,GB,United Kingdom,excel
remote-senior-software-engineer-go-ai-resilience-security-enhancements-contract-414764,GB,United Kingdom,azure
remote-senior-software-engineer-go-ai-resilience-security-enhancements-contract-414764,GB,United Kingdom,aws
remote-senior-software-engineer-go-ai-resilience-security-enhancements-contract-414764,GB,United Kingdom,gcp
remote-senior-software-engineer-go-ai-resilience-security-enhancements-contract-414764,GB,United Kingdom,kubernetes
remote-senior-software-engineer-go-ai-resilience-security-enhancements-contract-414764,GB,United Kingdom,git
remote-senior-cloud-security-engineer-ai-resilience-security-enhancements-contract-480288,GB,United Kingdom,aws
remote-senior-cloud-security-engineer-ai-resilience-security-enhancements-contract-480288,GB,United Kingdom,kubernetes
remote-senior-cloud-security-engineer-ai-resilience-security-enhancements-contract-480288,GB,United Kingdom,machine_learning
staff-cx-software-engineer-london-150307,GB,United Kingdom,kubernetes
senior-technical-support-engineer-sydney-454457,GB,United Kingdom,python
senior-technical-support-engineer-sydney-454457,GB,United Kingdom,sql
senior-technical-support-engineer-sydney-454457,GB,United Kingdom,azure
senior-technical-support-engineer-sydney-454457,GB,United Kingdom,aws
senior-technical-support-engineer-sydney-454457,GB,United Kingdom,gcp
senior-technical-support-engineer-sydney-454457,GB,United Kingdom,docker
senior-technical-support-engineer-sydney-454457,GB,United Kingdom,kubernetes
senior-technical-support-engineer-sydney-454457,GB,United Kingdom,git
senior-cloud-architect-consulting-multiple-aldgate-448398,GB,United Kingdom,aws
associate-engineer-graduate-entry-role-aldgate-354003,GB,United Kingdom,python
associate-engineer-graduate-entry-role-aldgate-354003,GB,United Kingdom,azure
associate-engineer-graduate-entry-role-aldgate-354003,GB,United Kingdom,aws
associate-engineer-graduate-entry-role-aldgate-354003,GB,United Kingdom,gcp
associate-engineer-graduate-entry-role-aldgate-354003,GB,United Kingdom,docker
business-support-analyst-customer-success-london-130894,GB,United Kingdom,excel
marketplace-advertising-senior-associate-london-417041,GB,United Kingdom,excel
software-engineer-platform-productivity-united-kingdom-remote-453041,GB,United Kingdom,docker
software-engineer-platform-productivity-united-kingdom-remote-453041,GB,United Kingdom,kubernetes
senior-software-engineer-k6-core-usa-est-only-remote-283344,GB,United Kingdom,aws
senior-software-engineer-k6-core-usa-est-only-remote-283344,GB,United Kingdom,docker
senior-software-engineer-k6-core-united-kingdom-remote-36418,GB,United Kingdom,aws
senior-software-engineer-k6-core-united-kingdom-remote-36418,GB,United Kingdom,docker
senior-platform-engineer-platform-metal-uk-remote-154781,GB,United Kingdom,python
senior-platform-engineer-platform-metal-uk-remote-154781,GB,United Kingdom,azure
senior-platform-engineer-platform-metal-uk-remote-154781,GB,United Kingdom,aws
senior-platform-engineer-platform-metal-uk-remote-154781,GB,United Kingdom,gcp
senior-platform-engineer-platform-metal-uk-remote-154781,GB,United Kingdom,kubernetes
remote-engineering-manager-69043,GB,United Kingdom,python
remote-engineering-manager-69043,GB,United Kingdom,aws
remote-engineering-manager-69043,GB,United Kingdom,gcp
remote-engineering-manager-69043,GB,United Kingdom,kubernetes
remote-engineering-manager-69043,GB,United Kingdom,git
senior-audit-innovation-and-enablement-lead-london-150111,GB,United Kingdom,artificial_intelligence
